# тема: поступление и предметы
"Должны ли третьекурсники быть на линейке?", "Нет, линейка не для них. Третьекурсники приходят ко времени своего первого занятия." 
"Четвертый курс тоже обязан быть на линейке?", "Нет, линейка только для первокурсников. Четверокурсники учатся по своему расписанию." 
"Если я второкурсник, мне нужно быть в техникуме к началу линейки?", "Нет, второкурсники не обязаны присутствовать на линейке. Вы учитесь по расписанию." 
"А если я третьекурсник и хочу посмотреть линейку — можно?", "Да, но только если у вас нет занятий в это время. Расписание старших курсов — на [страница расписания студентов]." 
"Второкурсники начинают учёбу с линейки или с пар?", "С пар — по расписанию. Линейка только для первокурсников." 
"Третьекурсникам нужно собираться на площадке вместе с первокурсниками?", "Нет, только первокурсники участвуют в линейке. Старшие курсы учатся по расписанию." 
"Четвёртый курс идёт на линейку или на пары?", "На пары — по расписанию. Линейка только для первокурсников." 
"Могу ли я, как второкурсник, прийти на линейку и потом на пару?", "Можете, если у вас нет занятий в это время. Но линейка не обязательна для старших курсов." 
"Нужно ли второкурсникам участвовать в торжественной части?", "Нет, торжественная линейка предназначена только для первокурсников." 
"А третьекурсники участвуют в мероприятиях 1 сентября?", "Только если у них по расписанию занятие. Иначе — линейка не для них."
"Четверокурсникам обязательно присутствовать на общем построении?", "Нет, общее построение — только для первокурсников. Остальные учатся по расписанию." 
"Если я второй курс, мне нужно быть на линейке?", "Нет, линейка только для первокурсников. Вы следуете своему расписанию." 
"Третий курс приходит вместе с первым?", "Нет, только первокурсники приходят на линейку. Старшие курсы — по расписанию." 
"А старшекурсникам вообще нельзя на линейку?", "Можно, если у вас нет занятий. Но участие не обязательно — линейка для первокурсников." 
"Второкурсники обязаны быть на площадке в день начала учебного года?", "Нет, только если у них там занятие. Иначе — вы учитесь по расписанию." 
"Четвёртый курс должен стоять на линейке?", "Нет, линейка только для первокурсников. Четверокурсники начинают занятия по расписанию." 
"Могут ли старшекурсники просто прийти посмотреть линейку?", "Да, но только если у них в это время нет пары. Основное — вы следуете расписанию." 
"Нужно ли мне, как третьекурснику, одеваться формально для линейки?", "Нет, линейка не для вас. Вы учитесь по расписанию, как обычно." 
"А если я второкурсник и приду на линейку — это будет нарушение?", "Нет, это не нарушение, если у вас нет занятий. Но линейка обязательна только для первокурсников." 
"Третьекурсники участвуют в приветствии первокурсников?", "Нет, участие в линейке — только для первокурсников. Старшие курсы учатся по расписанию." 
"Четвёртый курс может пропустить линейку?", "Да, потому что линейка не для четвёртого курса. Вы учитесь по расписанию." 
"Мне как первокурснику обязательно приходить на линейку?", "Да, линейка обязательна только для первокурсников."
"А мне нужно прийти на линейку?", "Если вы первокурсник — да, обязательно. Если вы старший курс — вы учитесь по расписанию."
"Обязательна ли линейка для всех студентов?", "Нет, линейка обязательна только для первокурсников. Старшие курсы учатся по расписанию."
"Я не знаю, нужно ли мне на линейку — что делать?", "Если вы первокурсник — да, нужно. Если вы со второго курса и выше — вы следуете расписанию занятий."
"Старшекурсникам надо быть на линейке?", "Нет, линейка только для первокурсников. Старшие курсы учатся по расписанию - [страница расписания студентов]"
"А второкурсникам обязательно на линейку?", "Нет, второкурсники учатся по расписанию - [страница расписания студентов]"
"Третьекурсники идут на линейку?", "Нет, линейка только для первокурсников. Третьекурсники учатся по расписанию - [страница расписания студентов]"
"Четвертый курс приходит на линейку?", "Нет, четвертые курсы учатся по расписанию - [страница расписания студентов]"
"Могу ли я не приходить на линейку, если я не первокурсник?", "Да, если вы не первокурсник, линейка для вас не обязательна. Вы учитесь по расписанию."
"Если я второй курс, мне на линейку?", "Нет, линейка только для первокурсников. Второкурсники учатся по расписанию - [страница расписания студентов]"
"А третьекурсникам надо стоять на линейке?", "Нет, линейка не для третьекурсников. Вы учитесь по расписанию - [страница расписания студентов]"
"Четверокурсникам нужно участвовать в линейке?", "Нет, линейка только для первокурсников. Четверокурсники учатся по расписанию - [страница расписания студентов]"
"Я старший курс — могу ли я пропустить линейку?", "Да, линейка не обязательна для старших курсов. Вы следуете расписанию занятий."
"Нужно ли мне, как третьекурснику, приходить на линейку?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию - [страница расписания студентов]"
"А если я четвертый курс — мне на линейку?", "Нет, линейка не для четвертых курсов. Вы учитесь по расписанию - [страница расписания студентов]"
"Второкурсникам положено быть на линейке?", "Нет, линейка только для первокурсников. Второкурсники учатся по расписанию - [страница расписания студентов]"
"Обязан ли я как старшекурсник присутствовать на линейке?", "Нет, линейка обязательна только для первокурсников. Старшие курсы учатся по расписанию."
"Могут ли второкурсники не приходить на линейку?", "Да, второкурсникам линейка не нужна. Они учатся по расписанию - [страница расписания студентов]"
"Третьекурсникам разрешено не ходить на линейку?", "Да, линейка только для первокурсников. Третьекурсники учатся по расписанию - [страница расписания студентов]"
"Четверокурсникам можно не быть на линейке?", "Да, линейка не для них. Четверокурсники учатся по расписанию - [страница расписания студентов]"
"А мне, как второкурснику, стоит идти на линейку?", "Только если у вас в это время нет занятия. В остальном — вы учитесь по расписанию."
"Могу ли я, будучи третьекурсником, не идти на линейку?", "Да, линейка не обязательна для третьекурсников. Вы следуете расписанию занятий."
"Если я четвертый курс, мне обязательно на линейку?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию - [страница расписания студентов]"
"Нужно ли второкурсникам участвовать в линейке?", "Нет, линейка только для первокурсников. Второкурсники учатся по расписанию - [страница расписания студентов]"
"Должен ли я как третий курс быть на линейке?", "Нет, линейка не для вас. Вы учитесь по расписанию - [страница расписания студентов]"
"Обязан ли четвертый курс присутствовать на линейке?", "Нет, линейка только для первокурсников. Четвертые курсы учатся по расписанию - [страница расписания студентов]"
"Я не первокурсник — мне на линейку?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию."
"Если я не из первого курса, нужно ли мне на линейку?", "Нет, линейка обязательна только для первокурсников. Остальные учатся по расписанию."
"А старшекурсникам вообще нельзя на линейку?", "Можно, но только если у вас нет занятий. Линейка обязательна только для первокурсников."
"Могу ли я прийти на линейку, если я второй курс?", "Да, но только если у вас нет занятий в это время. Линейка обязательна только для первокурсников."
"Третьекурсник может прийти на линейку посмотреть?", "Да, если у него нет занятий. Но линейка обязательна только для первокурсников."
"Четверокурсникам разрешено просто посмотреть линейку?", "Да, если у них нет занятий. Но линейка не обязательна для старших курсов."
"Могу ли я как старшекурсник просто прийти на линейку?", "Да, но только если у вас нет занятий. Линейка обязательна только для первокурсников."
"А если я хочу посмотреть линейку, но я не первокурсник?", "Можно, если у вас нет занятий. Но участие не обязательно — линейка для первокурсников."
"Второкурсникам можно прийти на линейку ради интереса?", "Да, если у вас нет занятий. Но линейка обязательна только для первокурсников."
"Третьекурсникам запрещено быть на линейке?", "Нет, не запрещено, но и не обязательно. Линейка — только для первокурсников."
"Четвертый курс может находиться на линейке?", "Может, если у него нет занятий. Но линейка обязательна только для первокурсников."
"Нужно ли мне одеваться на линейку, если я второй курс?", "Нет, линейка не для вас. Вы учитесь по расписанию."
"А третьекурсникам нужно готовиться к линейке?", "Нет, линейка только для первокурсников. Вы следуете расписанию занятий."
"Четверокурсникам стоит волноваться о линейке?", "Нет, линейка не для них. Вы учитесь по расписанию - [страница расписания студентов]"
"Если я не знаю, какой я курс, как понять — идти ли на линейку?", "Если вы впервые поступили — да, идите. Если вы уже учились здесь — вы учитесь по расписанию."
"Я новенький — мне на линейку?", "Да, если вы первокурсник, линейка обязательна для вас."
"Я уже учусь второй год — мне на линейку?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию - [страница расписания студентов]"
"Я учусь третий год — нужно ли мне на линейку?", "Нет, линейка не для вас. Вы учитесь по расписанию - [страница расписания студентов]"
"Я на последнем курсе — мне на линейку?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию - [страница расписания студентов]"
"А если я перешёл со второго курса — мне на линейку?", "Нет, линейка только для тех, кто впервые поступил. Вы учитесь по расписанию."
"Мне как первокурснику можно не идти на линейку?", "Нет, линейка обязательна для всех первокурсников."
"Обязательно ли первокурсникам быть на линейке?", "Да, линейка обязательна для всех первокурсников."
"Первокурсникам разрешено пропустить линейку?", "Нет, линейка обязательна для первокурсников."
"А первокурсникам можно не приходить на линейку?", "Нет, линейка обязательна для всех первокурсников."
"Если я первокурсник, могу ли я не идти на линейку?", "Нет, линейка обязательна для всех первокурсников."
"Все первокурсники должны быть на линейке?", "Да, линейка обязательна для всех первокурсников."
"Линейка обязательна только для первокурсников?", "Да, только для первокурсников. Старшие курсы учатся по расписанию - [страница расписания студентов]"
"Кто должен быть на линейке?", "Только первокурсники. Старшие курсы учатся по расписанию - [страница расписания студентов]"
"Кому не нужно идти на линейку?", "Всем, кроме первокурсников. Старшие курсы учатся по расписанию - [страница расписания студентов]"
"Кто участвует в линейке?", "Только первокурсники. Остальные студенты учатся по расписанию."
"Кто не участвует в линейке?", "Студенты со второго курса и выше. Они учатся по расписанию - [страница расписания студентов]"
"Все студенты идут на линейку?", "Нет, только первокурсники. Остальные учатся по расписанию - [страница расписания студентов]"
"Идут ли второкурсники на линейку?", "Нет, второкурсники учатся по расписанию - [страница расписания студентов]"
"Идут ли третьекурсники на линейку?", "Нет, третьекурсники учатся по расписанию - [страница расписания студентов]"
"Идут ли четверокурсники на линейку?", "Нет, четверокурсники учатся по расписанию - [страница расписания студентов]"
"Старшие курсы участвуют в линейке?", "Нет, линейка только для первокурсников. Старшие курсы учатся по расписанию - [страница расписания студентов]"
"Участвуют ли вторые курсы в линейке?", "Нет, вторые курсы учатся по расписанию - [страница расписания студентов]"
"Участвуют ли третьи курсы в линейке?", "Нет, третьи курсы учатся по расписанию - [страница расписания студентов]"
"Участвуют ли четвёртые курсы в линейке?", "Нет, четвёртые курсы учатся по расписанию - [страница расписания студентов]"
"Нужно ли мне идти на линейку, если я не первый курс?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию."
"А если я не первокурсник, но хочу пойти на линейку?", "Можно, но только если у вас нет занятий. Линейка обязательна только для первокурсников."
"Могу ли я пропустить линейку, если я не новичок?", "Да, линейка не для вас. Вы учитесь по расписанию."
"Если я не из первого набора, мне на линейку?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию."
"Я не первый год учусь — мне на линейку?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию - [страница расписания студентов]"
"А если я просто не уверен — идти ли мне на линейку?", "Если вы впервые поступили — да. Если вы уже учились здесь — вы учитесь по расписанию."
"Как понять, нужно ли мне на линейку?", "Если вы первокурсник — да. Если вы со второго курса и выше — нет, вы учитесь по расписанию."
"Кто из студентов обязан быть на линейке?", "Только первокурсники. Все остальные учатся по расписанию - [страница расписания студентов]"
"Кто может не приходить на линейку?", "Все, кроме первокурсников. Старшие курсы учатся по расписанию - [страница расписания студентов]"
"Обязаны ли старшекурсники быть на линейке?", "Нет, линейка только для первокурсников. Старшие курсы учатся по расписанию."
"Нужно ли второкурсникам собираться на линейку?", "Нет, второкурсники учатся по расписанию - [страница расписания студентов]"
"Должны ли третьекурсники приходить на линейку?", "Нет, третьекурсники учатся по расписанию - [страница расписания студентов]"
"Обязаны ли четверокурсники быть на линейке?", "Нет, четверокурсники учатся по расписанию - [страница расписания студентов]"
"Могу ли я не идти на линейку, если я не первокурсник?", "Да, линейка не обязательна для вас. Вы учитесь по расписанию."
"А если я старшекурсник и приду на линейку — будет ли это нарушением?", "Нет, если у вас нет занятий. Но линейка обязательна только для первокурсников."
"Можно ли старшекурснику просто постоять на линейке?", "Можно, но только если у вас нет занятий. Линейка обязательна только для первокурсников."
"Если я второй курс, могу ли я не идти на линейку?", "Да, линейка не для вас. Вы учитесь по расписанию - [страница расписания студентов]"
"Если я третий курс, могу ли я пропустить линейку?", "Да, линейка не для вас. Вы учитесь по расписанию - [страница расписания студентов]"
"Если я четвёртый курс, могу ли я не быть на линейке?", "Да, линейка не для вас. Вы учитесь по расписанию - [страница расписания студентов]"
"Нужно ли мне, как не-первокурснику, волноваться о линейке?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию."
"А если я не первый курс, но меня позвали на линейку?", "Проверьте, нет ли у вас занятий. Линейка обязательна только для первокурсников."
"Могу ли я игнорировать линейку, если я не первокурсник?", "Да, линейка не для вас. Вы следуете расписанию занятий."
"Стоит ли второкурснику идти на линейку?", "Только если у него нет занятий. Иначе — учитесь по расписанию."
"Стоит ли третьекурснику идти на линейку?", "Только если у него нет занятий. Линейка обязательна только для первокурсников."
"Стоит ли четверокурснику идти на линейку?", "Только если у него нет занятий. Иначе — учитесь по расписанию."
"Если я не первокурсник, линейка для меня?", "Нет, линейка только для первокурсников. Вы учитесь по расписанию."
"Линейка касается только первокурсников?", "Да, только первокурсников. Старшие курсы учатся по расписанию - [страница расписания студентов]"
"Касается ли линейка старших курсов?", "Нет, линейка только для первокурсников. Старшие курсы учатся по расписанию - [страница расписания студентов]"
"Нужно ли мне идти на линейку, если я не новичок?", "Нет, линейка только для новичков — первокурсников. Вы учитесь по расписанию."
"А если я просто хочу посмотреть линейку, будучи старшекурсником?", "Можно, но только если у вас нет занятий. Линейка обязательна только для первокурсников."
"Могу ли я, как второй курс, пройти мимо линейки?", "Да, вы не обязаны участвовать. Вы учитесь по расписанию - [страница расписания студентов]"
"Могу ли я, как третий курс, не участвовать в линейке?", "Да, линейка не для вас. Вы учитесь по расписанию - [страница расписания студентов]"
"Могу ли я, как четвёртый курс, пропустить линейку?", "Да, линейка не для вас. Вы учитесь по расписанию - [страница расписания студентов]"  

# тема: учебная неделя
"Сколько дней в неделю учатся в техникуме?", "В техникуме 6-ти дневная учебная неделя."
"Учеба пятидневка или шестидневка?", "Обучение проходит по шестидневной учебной неделе."
"Есть ли учеба по субботам?", "Да, суббота является учебным днем."
"Сколько дней в неделю проходят занятия?", "Занятия проводятся 6 дней в неделю."
"Какая учебная неделя в техникуме?", "В техникуме установлена шестидневная учебная неделя."
"Учатся ли студенты по воскресеньям?", "Нет, воскресенье - выходной день."
"Включает ли учебная неделя субботу?", "Да, суббота входит в учебную неделю."
"Сколько учебных дней в неделю?", "6 учебных дней в неделю с понедельника по субботу."
"Есть ли пары в субботу?", "Да, в субботу проводятся занятия по расписанию."
"Можно ли не приходить в субботу?", "Нет, суббота является обязательным учебным днем."
"Какие дни недели учебные?", "Учебные дни: понедельник, вторник, среда, четверг, пятница, суббота."
"Когда выходные у студентов?", "Выходной день - воскресенье."
"Бывают ли пятидневные недели?", "Нет, учебная неделя всегда шестидневная."
"Суббота считается учебным днем?", "Да, суббота - полноправный учебный день."
"Сколько дней отдыха в неделю?", "Один выходной день в неделю - воскресенье."
"Все группы учатся по субботам?", "Да, все учебные группы занимаются по субботам."
"Могут ли отменить занятия в субботу?", "Занятия в субботу проводятся по расписанию, отмены возможны только в исключительных случаях."
"Какая продолжительность учебной недели?", "Учебная неделя состоит из 6 дней."
"Включает ли расписание субботние пары?", "Да, расписание включает занятия на субботу."
"Когда начинается учебная неделя?", "Учебная неделя начинается в понедельник."
"Когда заканчивается учебная неделя?", "Учебная неделя заканчивается в субботу."
"Есть ли различия в неделе для разных курсов?", "Нет, для всех курсов шестидневная учебная неделя."
"Будут ли занятия в воскресенье?", "Нет, воскресенье - выходной день."
"Сколько учебных дней подряд?", "6 учебных дней подряд с понедельника по субботу."
"Подтвердите, что учеба 6 дней в неделю?", "Да, подтверждаем - в техникуме шестидневная учебная неделя."

# тема: добавление в группу с куратором
"Когда меня добавят в группу с куратором?", "Классный руководитель всё это сделает во время классного часа."
"Почему я до сих пор не в группе с куратором?", "Добавление в группу произойдет на первом классном часе."
"Как скоро меня включат в группу с классным руководителем?", "Это будет сделано во время проведения классного часа."
"Что делать, если меня не добавили в группу с куратором?", "Дождитесь классного часа, где классный руководитель решит этот вопрос."
"Когда будет создана группа с куратором?", "Группа будет организована во время классного часа."
"Почему куратор еще не добавил меня в группу?", "Куратор добавит всех студентов во время классного часа."
"Как попасть в группу к классному руководителю?", "Вас добавят автоматически во время классного часа."
"Когда куратор создаст группу для общения?", "Группа будет создана на первом классном часе."
"Почему нет группы с куратором в мессенджере?", "Группа будет создана во время классного часа."
"Когда нас объединят в группу с куратором?", "Объединение в группу произойдет на классном часе."
"Как быть, если куратор не добавил в группу?", "Дождитесь классного часа, где этот вопрос будет решен."
"Когда будет первый классный час с куратором?", "Информация о классе часе будет объявлена дополнительно."
"Почему я не вижу группу с классным руководителем?", "Группа появится после проведения классного часа."
"Когда куратор добавит всех в общий чат?", "Это произойдет во время классного часа."
"Как узнать, когда будет классный час?", "О дате и времени классного часа сообщат дополнительно."
"Почему до сих пор нет общего чата с куратором?", "Общий чат будет создан на классном часе."
"Когда нас познакомят с куратором?", "Знакомство с куратором состоится на классном часе."
"Как связаться с куратором до классного часа?", "Информация о контактах куратора будет предоставлена на классном часе."
"Почему куратор еще не связался со мной?", "Куратор свяжется со всеми студентами во время классного часа."
"Когда будет организована группа в соцсетях?", "Группа будет организована во время классного часа."
"Как узнать контакты куратора?", "Контакты куратора будут сообщены на классном часе."
"Почему нет информации о кураторе?", "Вся информация о кураторе будет предоставлена на классном часе."
"Когда куратор создаст группу для учебных вопросов?", "Группа для учебных вопросов будет создана на классном часе."
"Как получить приглашение в группу от куратора?", "Приглашение будет отправлено во время классного часа."
"Почему куратор еще не создал общий чат?", "Общий чат будет создан во время классного часа."

# тема: каникулы
"Когда будут первые каникулы и сколько они будут длиться?", "С графиком каникул можно ознакомиться на [страница расписания студентов]"
"С какого по какое число зимние каникулы?", "График каникул размещен на [страница расписания студентов]"
"Сколько дней продлятся зимние каникулы?", "Полную информацию о каникулах смотрите на [страница расписания студентов]"
"Когда начинаются зимние каникулы?", "Даты начала и окончания каникул указаны на [страница расписания студентов]"
"Когда заканчиваются зимние каникулы?", "Актуальные даты каникул размещены на [страница расписания студентов]"
"Какие даты зимних каникул?", "С графиком учебного процесса и каникулами можно ознакомиться на [страница расписания студентов]"
"Сколько недель длятся зимние каникулы?", "Информацию о продолжительности каникул смотрите на [страница расписания студентов]"
"Когда каникулы у первокурсников?", "График каникул для всех курсов размещен на [страница расписания студентов]"
"Есть ли осенние каникулы в техникуме?", "Полный график каникул на учебный год смотрите на [страница расписания студентов]"
"Когда весенние каникулы?", "Даты всех каникул указаны на [страница расписания студентов]"
"Сколько дней длятся весенние каникулы?", "Продолжительность каникул указана в графике на [страница расписания студентов]"
"Когда летние каникулы?", "График летних каникул размещен на [страница расписания студентов]"
"С какого числа летние каникулы?", "Точные даты летних каникул смотрите на [страница расписания студентов]"
"До какого числа летние каникулы?", "Период летних каникул указан на [страница расписания студентов]"
"Сколько месяцев длятся летние каникулы?", "Информацию о продолжительности летних каникул смотрите на [страница расписания студентов]"
"Когда каникулы между семестрами?", "График всех каникул размещен на [страница расписания студентов]"
"Есть ли дополнительные каникулы?", "Полный перечень каникул с датами смотрите на [страница расписания студентов]"
"Когда следующие каникулы после зимних?", "График каникул на весь учебный год доступен на [страница расписания студентов]"
"Сколько раз в год каникулы?", "Информацию о количестве и датах каникул смотрите на [страница расписания студентов]"
"Какие каникулы самые длинные?", "Сравнительную информацию о каникулах можно найти на [страница расписания студентов]"
"Когда каникулы у заочников?", "График каникул для всех форм обучения размещен на [страница расписания студентов]"
"Отличаются ли каникулы у разных курсов?", "Единый график каникул для всех курсов на [страница расписания студентов]"
"Когда будут каникулы в следующем семестре?", "График каникул на весь учебный год доступен на [страница расписания студентов]"
"Сколько дней отдыхаем на зимних каникулах?", "Точное количество дней каникул указано на [страница расписания студентов]"
"Когда начинается учеба после зимних каникул?", "Дата начала занятий после каникул указана на [страница расписания студентов]"

# тема: психологическая поддержка
"Я ничего не хочу делать...", "Это частая и нормальная проблема! Вы устали морально и сейчас находитесь в выгорании. Вам нужно отдохнуть! Если у вас есть какая-то работа то поделите ее на маленькие кусочки! Ваш мозг при виде сложной работы включает режим лени. Он старается экономить энергию видя сложную задачу! Ваша задача его обмануть! И делать сложную задачу по мальниким частям! Награждайте себя за выполненную работу! (если я сделаю это то пойду и куплю себе вкусняшки)...Если вам все же сложно себя начать что то делать рекомендуеться обратиться к психологу!"
"У меня постоянная тревога и непонятное беспокойство", "Тревога - это сигнал нашей психики о том, что что-то не так. Попробуйте технику 'заземления': назовите 5 вещей, которые видите, 4 которые слышите, 3 которые чувствуете. Дышите глубоко и медленно. Если тревога не проходит - обязательно поговорите с психологом."
"Иногда думаю о суициде...", "Ваша жизнь бесценна! Эти мысли приходят когда боль становится невыносимой. Пожалуйста, немедленно обратитесь к психологу или позвоните на горячую линию психологической помощи. Вы важны для этого мира, даже если сейчас так не кажется."
"Постоянно плачу без причины", "Слезы - это способ нашей психики выпустить накопившееся напряжение. Дайте себе возможность поплачать, не ругайте себя за это. Если плач становится частым и мешает жить - обсудите это с психологом."
"Чувствую себя одиноким даже среди людей", "Одиночество в толпе - очень распространенное чувство. Попробуйте найти одного человека, с которым сможете быть искренним. Иногда качество общения важнее количества. Психолог может стать таким безопасным человеком для начала."
